date;heure;PM10;NO2
;;microg/m3;microg/m3
11/03/2012;18;31;86
11/03/2012;19;37;107
11/03/2012;20;45;118
11/03/2012;21;60;110
11/03/2012;22;57;101
11/03/2012;23;50;97
11/03/2012;24;51;85
12/03/2012;1;48;75
12/03/2012;2;43;58
12/03/2012;3;41;54
12/03/2012;4;42;57
12/03/2012;5;44;67
12/03/2012;6;48;85
12/03/2012;7;62;102
12/03/2012;8;74;109
12/03/2012;9;85;109
12/03/2012;10;84;96
12/03/2012;11;58;91
12/03/2012;12;61;85
12/03/2012;13;51;82
12/03/2012;14;50;88
12/03/2012;15;53;96
12/03/2012;16;52;100
12/03/2012;17;53;105
12/03/2012;18;62;110
12/03/2012;19;67;112
12/03/2012;20;71;105
12/03/2012;21;71;90
12/03/2012;22;75;89
12/03/2012;23;75;83
12/03/2012;24;81;77
13/03/2012;1;82;58
13/03/2012;2;81;51
13/03/2012;3;80;45
13/03/2012;4;68;41
13/03/2012;5;64;40
13/03/2012;6;63;55
13/03/2012;7;73;73
13/03/2012;8;84;75
13/03/2012;9;85;76
13/03/2012;10;88;71
13/03/2012;11;83;69
13/03/2012;12;82;64
13/03/2012;13;78;65
13/03/2012;14;81;74
13/03/2012;15;77;82
13/03/2012;16;75;85
13/03/2012;17;75;90
13/03/2012;18;82;101
13/03/2012;19;90;94
13/03/2012;20;86;77
13/03/2012;21;86;73
13/03/2012;22;82;68
13/03/2012;23;84;64
13/03/2012;24;80;61
14/03/2012;1;58;51
14/03/2012;2;45;42
14/03/2012;3;53;37
14/03/2012;4;53;38
14/03/2012;5;51;41
14/03/2012;6;59;59
14/03/2012;7;71;80
14/03/2012;8;81;74
14/03/2012;9;81;77
14/03/2012;10;85;72
14/03/2012;11;88;72
14/03/2012;12;81;73
14/03/2012;13;81;66
14/03/2012;14;79;74
14/03/2012;15;80;80
14/03/2012;16;79;82
14/03/2012;17;70;98
14/03/2012;18;76;101
14/03/2012;19;87;107
14/03/2012;20;91;89
14/03/2012;21;88;76
14/03/2012;22;89;81
14/03/2012;23;87;80
14/03/2012;24;97;77
15/03/2012;1;96;66
15/03/2012;2;84;58
15/03/2012;3;77;50
15/03/2012;4;75;53
15/03/2012;5;75;56
15/03/2012;6;75;63
15/03/2012;7;90;85
15/03/2012;8;110;100
15/03/2012;9;115;98
15/03/2012;10;120;109
15/03/2012;11;119;111
15/03/2012;12;119;114
15/03/2012;13;97;111
15/03/2012;14;87;115
15/03/2012;15;74;121
15/03/2012;16;72;134
15/03/2012;17;88;149
15/03/2012;18;89;184
15/03/2012;19;97;199
15/03/2012;20;98;160
15/03/2012;21;90;143
15/03/2012;22;89;150
15/03/2012;23;96;134
15/03/2012;24;89;132
16/03/2012;1;74;98
16/03/2012;2;78;81
16/03/2012;3;83;59
16/03/2012;4;91;49
16/03/2012;5;96;56
16/03/2012;6;101;74
16/03/2012;7;114;99
16/03/2012;8;132;110
16/03/2012;9;151;130
16/03/2012;10;n/d;n/d
16/03/2012;11;n/d;n/d
16/03/2012;12;99;n/d
16/03/2012;13;72;n/d
16/03/2012;14;66;n/d
16/03/2012;15;69;n/d
16/03/2012;16;71;152
16/03/2012;17;63;157
16/03/2012;18;71;170
16/03/2012;19;79;201
16/03/2012;20;87;165
16/03/2012;21;70;112
16/03/2012;22;73;75
16/03/2012;23;102;62
16/03/2012;24;113;57
17/03/2012;1;102;39
17/03/2012;2;87;41
17/03/2012;3;86;40
17/03/2012;4;86;37
17/03/2012;5;94;42
17/03/2012;6;95;36
17/03/2012;7;94;42
17/03/2012;8;83;48
17/03/2012;9;68;69
17/03/2012;10;57;83
17/03/2012;11;61;77
17/03/2012;12;52;83
17/03/2012;13;50;75
17/03/2012;14;50;83
17/03/2012;15;48;82
17/03/2012;16;46;92
17/03/2012;17;43;100
17/03/2012;18;45;95
17/03/2012;19;47;114
17/03/2012;20;47;123
17/03/2012;21;50;107
17/03/2012;22;48;65
17/03/2012;23;30;72
17/03/2012;24;34;75
18/03/2012;1;25;64
18/03/2012;2;19;43
18/03/2012;3;14;31
18/03/2012;4;9;26
18/03/2012;5;12;27
18/03/2012;6;9;27
18/03/2012;7;11;50
18/03/2012;8;14;51
18/03/2012;9;22;59
18/03/2012;10;22;68
18/03/2012;11;18;70
18/03/2012;12;12;76
18/03/2012;13;13;74
18/03/2012;14;11;88
18/03/2012;15;16;86
18/03/2012;16;16;76
18/03/2012;17;16;97
18/03/2012;18;25;106
18/03/2012;19;25;100
18/03/2012;20;31;85
18/03/2012;21;22;70
18/03/2012;22;28;73
18/03/2012;23;30;55
18/03/2012;24;17;47
19/03/2012;1;18;33
19/03/2012;2;25;28
19/03/2012;3;27;22
19/03/2012;4;25;20
19/03/2012;5;24;30
19/03/2012;6;29;50
19/03/2012;7;35;84
19/03/2012;8;45;89
19/03/2012;9;44;89
19/03/2012;10;40;88
19/03/2012;11;38;87
19/03/2012;12;33;82
19/03/2012;13;31;69
19/03/2012;14;36;73
19/03/2012;15;23;75
19/03/2012;16;26;79
19/03/2012;17;28;90
19/03/2012;18;27;103
19/03/2012;19;31;130
19/03/2012;20;41;118
19/03/2012;21;40;104
19/03/2012;22;36;105
19/03/2012;23;43;112
19/03/2012;24;51;81
20/03/2012;1;45;62
20/03/2012;2;40;79
20/03/2012;3;41;72
20/03/2012;4;35;68
20/03/2012;5;30;66
20/03/2012;6;34;99
20/03/2012;7;52;116
20/03/2012;8;54;123
20/03/2012;9;65;121
20/03/2012;10;65;108
20/03/2012;11;43;115
20/03/2012;12;44;96
20/03/2012;13;41;83
20/03/2012;14;39;79
20/03/2012;15;31;90
20/03/2012;16;41;106
20/03/2012;17;39;117
20/03/2012;18;44;122
20/03/2012;19;50;129
20/03/2012;20;56;127
20/03/2012;21;72;110
20/03/2012;22;58;114
20/03/2012;23;58;118
20/03/2012;24;57;106
21/03/2012;1;51;87
21/03/2012;2;41;60
21/03/2012;3;38;50
21/03/2012;4;37;47
21/03/2012;5;n/d;60
21/03/2012;6;n/d;79
21/03/2012;7;65;109
21/03/2012;8;74;114
21/03/2012;9;75;102
21/03/2012;10;82;104
21/03/2012;11;71;88
21/03/2012;12;58;80
21/03/2012;13;46;79
21/03/2012;14;48;84
21/03/2012;15;51;89
21/03/2012;16;45;88
21/03/2012;17;47;101
21/03/2012;18;51;123
21/03/2012;19;53;131
21/03/2012;20;62;139
21/03/2012;21;77;123
21/03/2012;22;68;109
21/03/2012;23;59;107
21/03/2012;24;56;108
22/03/2012;1;55;99
22/03/2012;2;56;89
22/03/2012;3;48;83
22/03/2012;4;46;76
22/03/2012;5;42;79
22/03/2012;6;47;96
22/03/2012;7;60;118
22/03/2012;8;71;113
22/03/2012;9;70;111
22/03/2012;10;70;115
22/03/2012;11;82;n/d
22/03/2012;12;n/d;102
22/03/2012;13;n/d;98
22/03/2012;14;68;110
22/03/2012;15;59;103
22/03/2012;16;64;97
22/03/2012;17;53;123
22/03/2012;18;52;136
22/03/2012;19;62;161
22/03/2012;20;76;148
22/03/2012;21;76;147
22/03/2012;22;83;157
22/03/2012;23;95;187
22/03/2012;24;103;168
23/03/2012;1;88;136
23/03/2012;2;85;136
23/03/2012;3;79;110
23/03/2012;4;64;99
23/03/2012;5;58;95
23/03/2012;6;70;120
23/03/2012;7;84;142
23/03/2012;8;101;136
23/03/2012;9;109;170
23/03/2012;10;126;138
23/03/2012;11;109;136
23/03/2012;12;102;135
23/03/2012;13;96;112
23/03/2012;14;67;130
23/03/2012;15;66;122
23/03/2012;16;60;129
23/03/2012;17;60;143
23/03/2012;18;58;173
23/03/2012;19;64;178
23/03/2012;20;73;166
23/03/2012;21;76;150
23/03/2012;22;76;146
23/03/2012;23;72;134
23/03/2012;24;67;144
24/03/2012;1;73;130
24/03/2012;2;72;100
24/03/2012;3;70;90
24/03/2012;4;72;99
24/03/2012;5;77;81
24/03/2012;6;78;79
24/03/2012;7;93;85
24/03/2012;8;91;80
24/03/2012;9;99;86
24/03/2012;10;100;91
24/03/2012;11;101;85
24/03/2012;12;84;88
24/03/2012;13;78;92
24/03/2012;14;66;96
24/03/2012;15;46;103
24/03/2012;16;51;117
24/03/2012;17;49;104
24/03/2012;18;60;150
24/03/2012;19;75;139
24/03/2012;20;96;136
24/03/2012;21;84;119
24/03/2012;22;78;108
24/03/2012;23;73;99
24/03/2012;24;71;102
25/03/2012;1;67;98
25/03/2012;2;72;78
25/03/2012;3;79;65
25/03/2012;4;78;51
25/03/2012;5;78;51
25/03/2012;6;82;54
25/03/2012;7;85;56
25/03/2012;8;90;54
25/03/2012;9;86;52
25/03/2012;10;86;59
25/03/2012;11;87;72
25/03/2012;12;76;71
25/03/2012;13;64;56
25/03/2012;14;48;65
25/03/2012;15;44;76
25/03/2012;16;41;83
25/03/2012;17;51;83
25/03/2012;18;53;89
25/03/2012;19;80;90
25/03/2012;20;87;86
25/03/2012;21;91;74
25/03/2012;22;86;66
25/03/2012;23;68;56
25/03/2012;24;57;50
26/03/2012;1;54;43
26/03/2012;2;50;36
26/03/2012;3;43;38
26/03/2012;4;42;45
26/03/2012;5;43;70
26/03/2012;6;51;90
26/03/2012;7;64;99
26/03/2012;8;69;101
26/03/2012;9;67;104
26/03/2012;10;64;102
26/03/2012;11;55;96
26/03/2012;12;46;88
26/03/2012;13;32;82
26/03/2012;14;36;88
26/03/2012;15;43;80
26/03/2012;16;33;98
26/03/2012;17;32;97
26/03/2012;18;34;110
26/03/2012;19;32;120
26/03/2012;20;36;102
26/03/2012;21;32;87
26/03/2012;22;28;87
26/03/2012;23;25;84
26/03/2012;24;29;74
27/03/2012;1;29;54
27/03/2012;2;31;49
27/03/2012;3;29;44
27/03/2012;4;32;56
27/03/2012;5;52;82
27/03/2012;6;52;112
27/03/2012;7;58;108
27/03/2012;8;78;103
27/03/2012;9;79;105
27/03/2012;10;69;97
27/03/2012;11;55;98
27/03/2012;12;52;88
27/03/2012;13;41;84
27/03/2012;14;44;88
27/03/2012;15;39;101
27/03/2012;16;36;118
27/03/2012;17;33;135
27/03/2012;18;38;132
27/03/2012;19;44;146
27/03/2012;20;51;141
27/03/2012;21;58;106
27/03/2012;22;66;92
27/03/2012;23;55;99
27/03/2012;24;56;77
28/03/2012;1;52;58
28/03/2012;2;51;54
28/03/2012;3;53;51
28/03/2012;4;55;61
28/03/2012;5;59;86
28/03/2012;6;78;96
28/03/2012;7;89;102
28/03/2012;8;103;99
28/03/2012;9;107;n/d
28/03/2012;10;107;108
28/03/2012;11;104;106
28/03/2012;12;84;98
28/03/2012;13;76;91
28/03/2012;14;64;99
28/03/2012;15;70;115
28/03/2012;16;72;118
28/03/2012;17;57;111
28/03/2012;18;56;134
28/03/2012;19;62;140
28/03/2012;20;80;115
28/03/2012;21;81;109
28/03/2012;22;79;101
28/03/2012;23;80;91
28/03/2012;24;80;76
29/03/2012;1;79;57
29/03/2012;2;82;40
29/03/2012;3;82;42
29/03/2012;4;82;53
29/03/2012;5;81;88
29/03/2012;6;92;118
29/03/2012;7;102;115
29/03/2012;8;112;115
29/03/2012;9;109;112
29/03/2012;10;94;107
29/03/2012;11;87;108
29/03/2012;12;72;107
29/03/2012;13;60;106
29/03/2012;14;56;111
29/03/2012;15;50;113
29/03/2012;16;54;148
29/03/2012;17;50;140
29/03/2012;18;64;144
29/03/2012;19;73;135
29/03/2012;20;67;98
29/03/2012;21;69;86
29/03/2012;22;72;75
29/03/2012;23;62;69
29/03/2012;24;55;57
30/03/2012;1;48;54
30/03/2012;2;44;47
30/03/2012;3;43;43
30/03/2012;4;43;47
30/03/2012;5;47;91
30/03/2012;6;63;119
30/03/2012;7;74;131
30/03/2012;8;86;125
30/03/2012;9;85;118
30/03/2012;10;73;113
30/03/2012;11;60;114
30/03/2012;12;65;100
30/03/2012;13;66;111
30/03/2012;14;71;100
30/03/2012;15;70;101
30/03/2012;16;74;120
30/03/2012;17;80;110
30/03/2012;18;74;121
30/03/2012;19;80;113
30/03/2012;20;69;90
30/03/2012;21;63;93
30/03/2012;22;51;92
30/03/2012;23;41;84
30/03/2012;24;45;75
31/03/2012;1;43;62
31/03/2012;2;39;60
31/03/2012;3;36;53
31/03/2012;4;38;52
31/03/2012;5;41;55
31/03/2012;6;54;61
31/03/2012;7;60;70
31/03/2012;8;57;80
31/03/2012;9;70;93
31/03/2012;10;78;100
31/03/2012;11;78;93
31/03/2012;12;75;84
31/03/2012;13;73;86
31/03/2012;14;80;89
31/03/2012;15;74;96
31/03/2012;16;69;109
31/03/2012;17;71;107
31/03/2012;18;64;94
31/03/2012;19;50;74
31/03/2012;20;30;64
31/03/2012;21;26;60
31/03/2012;22;34;63
31/03/2012;23;37;66
31/03/2012;24;29;63
01/04/2012;1;23;49
01/04/2012;2;24;43
01/04/2012;3;25;37
01/04/2012;4;22;36
01/04/2012;5;19;35
01/04/2012;6;19;46
01/04/2012;7;30;50
01/04/2012;8;30;60
01/04/2012;9;32;54
01/04/2012;10;26;44
01/04/2012;11;28;47
01/04/2012;12;25;52
01/04/2012;13;23;53
01/04/2012;14;22;51
01/04/2012;15;25;72
01/04/2012;16;26;70
01/04/2012;17;18;81
01/04/2012;18;21;79
01/04/2012;19;29;85
01/04/2012;20;34;80
01/04/2012;21;36;81
01/04/2012;22;37;77
01/04/2012;23;37;76
01/04/2012;24;40;63
02/04/2012;1;33;43
02/04/2012;2;32;33
02/04/2012;3;31;31
02/04/2012;4;32;43
02/04/2012;5;36;77
02/04/2012;6;48;114
02/04/2012;7;61;120
02/04/2012;8;66;116
02/04/2012;9;n/d;n/d
02/04/2012;10;n/d;107
02/04/2012;11;57;93
02/04/2012;12;54;90
02/04/2012;13;51;88
02/04/2012;14;42;92
02/04/2012;15;42;90
02/04/2012;16;58;105
02/04/2012;17;48;103
02/04/2012;18;45;114
02/04/2012;19;52;117
02/04/2012;20;48;108
02/04/2012;21;46;103
02/04/2012;22;40;103
02/04/2012;23;46;86
02/04/2012;24;45;83
03/04/2012;1;40;66
03/04/2012;2;38;61
03/04/2012;3;37;62
03/04/2012;4;42;81
03/04/2012;5;50;97
03/04/2012;6;67;111
03/04/2012;7;74;126
03/04/2012;8;94;138
03/04/2012;9;111;140
03/04/2012;10;99;124
03/04/2012;11;74;120
03/04/2012;12;71;116
03/04/2012;13;69;109
03/04/2012;14;59;112
03/04/2012;15;57;110
03/04/2012;16;60;117
03/04/2012;17;57;123
03/04/2012;18;58;121
03/04/2012;19;76;88
03/04/2012;20;61;97
03/04/2012;21;43;92
03/04/2012;22;56;84
03/04/2012;23;48;77
03/04/2012;24;44;65
04/04/2012;1;41;59
04/04/2012;2;38;60
04/04/2012;3;45;38
04/04/2012;4;46;45
04/04/2012;5;39;77
04/04/2012;6;46;117
04/04/2012;7;65;138
04/04/2012;8;66;144
04/04/2012;9;61;134
04/04/2012;10;52;117
04/04/2012;11;47;104
04/04/2012;12;40;97
04/04/2012;13;41;98
04/04/2012;14;40;116
04/04/2012;15;45;111
04/04/2012;16;42;117
04/04/2012;17;40;126
04/04/2012;18;40;126
04/04/2012;19;n/d;118
04/04/2012;20;40;109
04/04/2012;21;35;126
04/04/2012;22;48;111
04/04/2012;23;49;94
04/04/2012;24;40;71
05/04/2012;1;37;55
05/04/2012;2;38;45
05/04/2012;3;43;48
05/04/2012;4;43;55
05/04/2012;5;48;76
05/04/2012;6;64;89
05/04/2012;7;83;91
05/04/2012;8;96;88
05/04/2012;9;95;76
05/04/2012;10;91;80
05/04/2012;11;94;82
05/04/2012;12;86;84
05/04/2012;13;87;87
05/04/2012;14;88;76
05/04/2012;15;85;68
05/04/2012;16;87;72
05/04/2012;17;84;79
05/04/2012;18;90;86
05/04/2012;19;84;82
05/04/2012;20;79;73
05/04/2012;21;73;66
05/04/2012;22;66;59
05/04/2012;23;67;51
05/04/2012;24;61;47
06/04/2012;1;63;45
06/04/2012;2;64;40
06/04/2012;3;68;38
06/04/2012;4;66;40
06/04/2012;5;68;62
06/04/2012;6;70;82
06/04/2012;7;80;81
06/04/2012;8;82;81
06/04/2012;9;79;84
06/04/2012;10;82;77
06/04/2012;11;85;65
06/04/2012;12;76;69
06/04/2012;13;68;77
06/04/2012;14;70;81
06/04/2012;15;62;96
06/04/2012;16;55;95
06/04/2012;17;60;107
06/04/2012;18;58;113
06/04/2012;19;63;106
06/04/2012;20;70;96
06/04/2012;21;58;94
06/04/2012;22;43;78
06/04/2012;23;35;66
06/04/2012;24;23;74
07/04/2012;1;21;63
07/04/2012;2;21;68
07/04/2012;3;20;51
07/04/2012;4;20;58
07/04/2012;5;25;66
07/04/2012;6;26;86
07/04/2012;7;23;94
07/04/2012;8;34;96
07/04/2012;9;40;90
07/04/2012;10;49;86
07/04/2012;11;45;78
07/04/2012;12;40;70
07/04/2012;13;47;84
07/04/2012;14;42;102
07/04/2012;15;38;102
07/04/2012;16;33;112
07/04/2012;17;38;108
07/04/2012;18;32;93
07/04/2012;19;26;77
07/04/2012;20;21;70
07/04/2012;21;20;64
07/04/2012;22;20;65
07/04/2012;23;16;56
07/04/2012;24;15;49
08/04/2012;1;17;50
08/04/2012;2;17;52
08/04/2012;3;16;41
08/04/2012;4;17;40
08/04/2012;5;17;40
08/04/2012;6;16;59
08/04/2012;7;24;62
08/04/2012;8;27;69
08/04/2012;9;20;58
08/04/2012;10;12;44
08/04/2012;11;19;62
08/04/2012;12;27;67
08/04/2012;13;21;65
08/04/2012;14;23;65
08/04/2012;15;23;71
08/04/2012;16;23;73
08/04/2012;17;29;75
08/04/2012;18;23;74
08/04/2012;19;18;70
08/04/2012;20;26;67
08/04/2012;21;24;61
08/04/2012;22;26;60
08/04/2012;23;22;48
08/04/2012;24;22;42
09/04/2012;1;24;29
09/04/2012;2;19;26
09/04/2012;3;19;24
09/04/2012;4;16;25
09/04/2012;5;16;32
09/04/2012;6;13;39
09/04/2012;7;16;38
09/04/2012;8;20;51
09/04/2012;9;27;58
09/04/2012;10;27;49
09/04/2012;11;32;53
09/04/2012;12;48;54
09/04/2012;13;42;55
09/04/2012;14;31;67
09/04/2012;15;23;77
09/04/2012;16;18;80
09/04/2012;17;17;68
09/04/2012;18;10;66
09/04/2012;19;15;61
09/04/2012;20;9;53
09/04/2012;21;8;48
09/04/2012;22;7;44
09/04/2012;23;6;30
09/04/2012;24;9;21
10/04/2012;1;8;11
10/04/2012;2;5;11
10/04/2012;3;7;12
10/04/2012;4;8;20
10/04/2012;5;12;51
10/04/2012;6;18;89
10/04/2012;7;32;95
10/04/2012;8;35;96
10/04/2012;9;45;92
10/04/2012;10;24;88
10/04/2012;11;21;112
10/04/2012;12;24;101
10/04/2012;13;25;127
10/04/2012;14;30;128
10/04/2012;15;24;140
10/04/2012;16;23;104
10/04/2012;17;22;121
10/04/2012;18;24;131
10/04/2012;19;23;117
10/04/2012;20;21;97
10/04/2012;21;15;76
10/04/2012;22;15;91
10/04/2012;23;16;63
10/04/2012;24;9;36
11/04/2012;1;13;36
11/04/2012;2;12;26
11/04/2012;3;9;39
11/04/2012;4;10;50
11/04/2012;5;18;84
11/04/2012;6;30;100
11/04/2012;7;27;96
11/04/2012;8;48;103
11/04/2012;9;n/d;95
11/04/2012;10;n/d;n/d
11/04/2012;11;n/d;n/d
11/04/2012;12;25;87
11/04/2012;13;26;99
11/04/2012;14;26;94
11/04/2012;15;30;94
11/04/2012;16;29;93
11/04/2012;17;29;101
11/04/2012;18;22;112
11/04/2012;19;24;101
11/04/2012;20;18;100
11/04/2012;21;17;93
11/04/2012;22;18;88
11/04/2012;23;14;77
11/04/2012;24;18;55
12/04/2012;1;11;51
12/04/2012;2;10;46
12/04/2012;3;9;50
12/04/2012;4;16;53
12/04/2012;5;23;74
12/04/2012;6;24;120
12/04/2012;7;40;128
12/04/2012;8;39;128
12/04/2012;9;57;132
12/04/2012;10;44;110
12/04/2012;11;52;88
12/04/2012;12;59;95
12/04/2012;13;40;100
12/04/2012;14;41;106
12/04/2012;15;49;107
12/04/2012;16;51;97
12/04/2012;17;38;116
12/04/2012;18;37;113
12/04/2012;19;25;104
12/04/2012;20;30;104
12/04/2012;21;46;97
12/04/2012;22;39;101
12/04/2012;23;30;74
12/04/2012;24;25;77
13/04/2012;1;14;79
13/04/2012;2;9;58
13/04/2012;3;13;77
13/04/2012;4;16;88
13/04/2012;5;18;111
13/04/2012;6;28;133
13/04/2012;7;45;135
13/04/2012;8;50;130
13/04/2012;9;37;108
13/04/2012;10;20;95
13/04/2012;11;25;91
13/04/2012;12;22;80
13/04/2012;13;14;99
13/04/2012;14;29;109
13/04/2012;15;32;92
13/04/2012;16;22;104
13/04/2012;17;35;114
13/04/2012;18;34;120
13/04/2012;19;22;121
13/04/2012;20;37;113
13/04/2012;21;39;95
13/04/2012;22;32;88
13/04/2012;23;30;89
13/04/2012;24;33;79
14/04/2012;1;16;69
14/04/2012;2;16;62
14/04/2012;3;15;51
14/04/2012;4;9;51
14/04/2012;5;13;68
14/04/2012;6;18;83
14/04/2012;7;24;77
14/04/2012;8;27;78
14/04/2012;9;29;70
14/04/2012;10;25;79
14/04/2012;11;20;72
14/04/2012;12;12;68
14/04/2012;13;12;79
14/04/2012;14;17;93
14/04/2012;15;19;98
14/04/2012;16;34;90
14/04/2012;17;26;84
14/04/2012;18;28;123
14/04/2012;19;49;117
14/04/2012;20;43;100
14/04/2012;21;37;73
14/04/2012;22;30;66
14/04/2012;23;18;60
14/04/2012;24;30;50
15/04/2012;1;22;40
15/04/2012;2;18;38
15/04/2012;3;15;31
15/04/2012;4;18;27
15/04/2012;5;19;31
15/04/2012;6;17;34
15/04/2012;7;17;40
15/04/2012;8;9;41
15/04/2012;9;14;36
15/04/2012;10;32;43
15/04/2012;11;23;46
15/04/2012;12;23;43
15/04/2012;13;18;43
15/04/2012;14;19;43
15/04/2012;15;42;50
15/04/2012;16;30;48
15/04/2012;17;19;48
15/04/2012;18;14;51
15/04/2012;19;16;50
15/04/2012;20;5;51
15/04/2012;21;8;49
15/04/2012;22;14;40
15/04/2012;23;21;36
15/04/2012;24;11;26
16/04/2012;1;10;24
16/04/2012;2;6;25
16/04/2012;3;8;28
16/04/2012;4;4;42
16/04/2012;5;9;76
16/04/2012;6;15;99
16/04/2012;7;15;96
16/04/2012;8;28;75
16/04/2012;9;30;85
16/04/2012;10;26;n/d
16/04/2012;11;22;79
16/04/2012;12;26;83
16/04/2012;13;30;83
16/04/2012;14;25;93
16/04/2012;15;23;101
16/04/2012;16;19;96
16/04/2012;17;23;115
16/04/2012;18;22;105
16/04/2012;19;20;95
16/04/2012;20;22;84
16/04/2012;21;26;98
16/04/2012;22;28;95
16/04/2012;23;28;90
16/04/2012;24;27;93
17/04/2012;1;27;70
17/04/2012;2;27;86
17/04/2012;3;25;63
17/04/2012;4;24;82
17/04/2012;5;29;111
17/04/2012;6;40;135
17/04/2012;7;50;140
17/04/2012;8;54;139
17/04/2012;9;59;117
17/04/2012;10;73;93
17/04/2012;11;81;88
17/04/2012;12;45;103
17/04/2012;13;32;107
17/04/2012;14;23;115
17/04/2012;15;28;138
17/04/2012;16;24;106
17/04/2012;17;21;109
17/04/2012;18;22;106
17/04/2012;19;24;102
17/04/2012;20;27;94
17/04/2012;21;31;77
17/04/2012;22;27;66
17/04/2012;23;23;61
17/04/2012;24;18;43
18/04/2012;1;17;28
18/04/2012;2;14;22
18/04/2012;3;15;26
18/04/2012;4;20;33
18/04/2012;5;25;63
18/04/2012;6;27;85
18/04/2012;7;32;92
18/04/2012;8;26;101
18/04/2012;9;27;100
18/04/2012;10;32;93
18/04/2012;11;28;87
18/04/2012;12;24;86
18/04/2012;13;26;103
18/04/2012;14;28;97
18/04/2012;15;18;92
18/04/2012;16;19;91
18/04/2012;17;24;89
18/04/2012;18;22;93
18/04/2012;19;12;101
18/04/2012;20;10;83
18/04/2012;21;11;80
18/04/2012;22;5;65
18/04/2012;23;6;50
18/04/2012;24;13;46
19/04/2012;1;10;33
19/04/2012;2;7;25
19/04/2012;3;9;21
19/04/2012;4;11;30
19/04/2012;5;15;63
19/04/2012;6;27;97
19/04/2012;7;31;98
19/04/2012;8;45;95
19/04/2012;9;43;86
19/04/2012;10;30;80
19/04/2012;11;39;78
19/04/2012;12;33;74
19/04/2012;13;26;91
19/04/2012;14;27;88
19/04/2012;15;25;82
19/04/2012;16;32;93
19/04/2012;17;22;105
19/04/2012;18;20;113
19/04/2012;19;33;115
19/04/2012;20;27;86
19/04/2012;21;20;82
19/04/2012;22;25;83
19/04/2012;23;15;77
19/04/2012;24;16;51
20/04/2012;1;16;44
20/04/2012;2;10;37
20/04/2012;3;12;28
20/04/2012;4;15;43
20/04/2012;5;23;68
20/04/2012;6;34;103
20/04/2012;7;35;113
20/04/2012;8;33;112
20/04/2012;9;34;114
20/04/2012;10;39;88
20/04/2012;11;20;105
20/04/2012;12;23;84
20/04/2012;13;24;74
20/04/2012;14;26;75
20/04/2012;15;25;94
20/04/2012;16;55;102
20/04/2012;17;23;106
20/04/2012;18;25;118
20/04/2012;19;34;91
20/04/2012;20;26;84
20/04/2012;21;16;77
20/04/2012;22;14;79
20/04/2012;23;9;72
20/04/2012;24;9;62
21/04/2012;1;7;40
21/04/2012;2;7;28
21/04/2012;3;5;28
21/04/2012;4;7;28
21/04/2012;5;13;34
21/04/2012;6;22;49
21/04/2012;7;22;48
21/04/2012;8;19;57
21/04/2012;9;21;67
21/04/2012;10;19;72
21/04/2012;11;20;72
21/04/2012;12;13;54
21/04/2012;13;16;59
21/04/2012;14;16;70
21/04/2012;15;14;80
21/04/2012;16;13;71
21/04/2012;17;9;89
21/04/2012;18;19;86
21/04/2012;19;19;81
21/04/2012;20;23;82
21/04/2012;21;19;97
21/04/2012;22;16;85
21/04/2012;23;17;65
21/04/2012;24;9;73
22/04/2012;1;13;63
22/04/2012;2;17;52
22/04/2012;3;15;41
22/04/2012;4;15;33
22/04/2012;5;11;37
22/04/2012;6;5;35
22/04/2012;7;8;32
22/04/2012;8;10;44
22/04/2012;9;13;39
22/04/2012;10;19;45
22/04/2012;11;18;58
22/04/2012;12;22;49
22/04/2012;13;20;51
22/04/2012;14;19;50
22/04/2012;15;14;59
22/04/2012;16;19;71
22/04/2012;17;15;59
22/04/2012;18;16;71
22/04/2012;19;11;78
22/04/2012;20;14;65
22/04/2012;21;12;75
22/04/2012;22;8;82
22/04/2012;23;11;46
22/04/2012;24;9;43
23/04/2012;1;9;37
23/04/2012;2;10;22
23/04/2012;3;9;17
23/04/2012;4;9;27
23/04/2012;5;15;73
23/04/2012;6;29;99
23/04/2012;7;33;106
23/04/2012;8;54;112
23/04/2012;9;n/d;n/d
23/04/2012;10;n/d;n/d
23/04/2012;11;32;116
23/04/2012;12;12;92
23/04/2012;13;15;96
23/04/2012;14;15;109
23/04/2012;15;13;96
23/04/2012;16;24;90
23/04/2012;17;27;123
23/04/2012;18;16;115
23/04/2012;19;15;78
23/04/2012;20;21;93
23/04/2012;21;27;77
23/04/2012;22;17;63
23/04/2012;23;17;54
23/04/2012;24;15;48
24/04/2012;1;8;34
24/04/2012;2;7;24
24/04/2012;3;8;33
24/04/2012;4;7;42
24/04/2012;5;14;62
24/04/2012;6;11;94
24/04/2012;7;23;104
24/04/2012;8;38;101
24/04/2012;9;44;87
24/04/2012;10;31;88
24/04/2012;11;28;69
24/04/2012;12;25;74
24/04/2012;13;17;82
24/04/2012;14;19;82
24/04/2012;15;19;83
24/04/2012;16;21;84
24/04/2012;17;28;99
24/04/2012;18;36;104
24/04/2012;19;31;114
24/04/2012;20;34;119
24/04/2012;21;37;135
24/04/2012;22;33;134
24/04/2012;23;36;94
24/04/2012;24;25;57
25/04/2012;1;17;41
25/04/2012;2;15;33
25/04/2012;3;16;30
25/04/2012;4;13;35
25/04/2012;5;16;70
25/04/2012;6;27;107
25/04/2012;7;29;105
