date;heure;PM10;NO2
;;microg/m3;microg/m3
27/02/2011;18;21;83
27/02/2011;19;32;98
27/02/2011;20;35;74
27/02/2011;21;25;78
27/02/2011;22;29;77
27/02/2011;23;34;79
27/02/2011;24;31;70
28/02/2011;1;30;52
28/02/2011;2;29;43
28/02/2011;3;28;63
28/02/2011;4;30;56
28/02/2011;5;29;59
28/02/2011;6;35;70
28/02/2011;7;31;89
28/02/2011;8;38;105
28/02/2011;9;49;102
28/02/2011;10;43;90
28/02/2011;11;37;85
28/02/2011;12;n/d;81
28/02/2011;13;n/d;78
28/02/2011;14;66;85
28/02/2011;15;76;91
28/02/2011;16;86;94
28/02/2011;17;84;95
28/02/2011;18;77;104
28/02/2011;19;81;96
28/02/2011;20;80;81
28/02/2011;21;71;68
28/02/2011;22;57;63
28/02/2011;23;60;64
28/02/2011;24;64;51
01/03/2011;1;62;48
01/03/2011;2;61;44
01/03/2011;3;64;44
01/03/2011;4;65;40
01/03/2011;5;60;47
01/03/2011;6;57;61
01/03/2011;7;58;75
01/03/2011;8;63;79
01/03/2011;9;66;73
01/03/2011;10;75;72
01/03/2011;11;n/d;77
01/03/2011;12;n/d;68
01/03/2011;13;n/d;66
01/03/2011;14;n/d;73
01/03/2011;15;n/d;73
01/03/2011;16;n/d;87
01/03/2011;17;74;85
01/03/2011;18;82;84
01/03/2011;19;84;93
01/03/2011;20;90;82
01/03/2011;21;84;68
01/03/2011;22;81;65
01/03/2011;23;85;59
01/03/2011;24;97;49
02/03/2011;1;90;40
02/03/2011;2;91;34
02/03/2011;3;93;35
02/03/2011;4;97;33
02/03/2011;5;106;38
02/03/2011;6;111;59
02/03/2011;7;119;82
02/03/2011;8;132;88
02/03/2011;9;141;82
02/03/2011;10;142;85
02/03/2011;11;132;84
02/03/2011;12;116;n/d
02/03/2011;13;108;n/d
02/03/2011;14;101;80
02/03/2011;15;97;93
02/03/2011;16;99;93
02/03/2011;17;87;108
02/03/2011;18;80;114
02/03/2011;19;75;128
02/03/2011;20;72;111
02/03/2011;21;57;82
02/03/2011;22;55;75
02/03/2011;23;62;73
02/03/2011;24;71;72
03/03/2011;1;68;61
03/03/2011;2;79;50
03/03/2011;3;74;47
03/03/2011;4;77;47
03/03/2011;5;81;49
03/03/2011;6;88;67
03/03/2011;7;100;83
03/03/2011;8;110;91
03/03/2011;9;109;89
03/03/2011;10;104;92
03/03/2011;11;94;87
03/03/2011;12;73;87
03/03/2011;13;73;87
03/03/2011;14;76;88
03/03/2011;15;87;114
03/03/2011;16;99;109
03/03/2011;17;90;108
03/03/2011;18;93;117
03/03/2011;19;96;123
03/03/2011;20;99;117
03/03/2011;21;91;95
03/03/2011;22;89;90
03/03/2011;23;80;85
03/03/2011;24;79;85
04/03/2011;1;75;77
04/03/2011;2;80;66
04/03/2011;3;78;60
04/03/2011;4;73;57
04/03/2011;5;69;61
04/03/2011;6;68;78
04/03/2011;7;72;104
04/03/2011;8;91;110
04/03/2011;9;100;99
04/03/2011;10;90;100
04/03/2011;11;89;95
04/03/2011;12;90;96
04/03/2011;13;87;96
04/03/2011;14;76;91
04/03/2011;15;73;99
04/03/2011;16;76;102
04/03/2011;17;78;126
04/03/2011;18;81;132
04/03/2011;19;84;130
04/03/2011;20;100;122
04/03/2011;21;103;114
04/03/2011;22;108;99
04/03/2011;23;112;103
04/03/2011;24;113;96
05/03/2011;1;108;93
05/03/2011;2;112;80
05/03/2011;3;114;76
05/03/2011;4;107;71
05/03/2011;5;106;71
05/03/2011;6;105;73
05/03/2011;7;107;78
